%gen_inp
fkd	깣
fkz	깤
fke	깥
fkx	깦
fkw	깧
fh	깨
fhy	깩
fhf	깪
fhv	깫
fhl	깬
fhk	깭
fhg	깮
fhc	깯
fhs	깰
fhj	깱
fhn	깲
fhr	깳
fhp	깴
fht	깵
fhi	깶
fwh	깷
fho	깸
fha	깹
fhh	깺
fhb	깻
fhm	깼
fhq	깽
fhu	깾
fhd	깿
fhz	꺀
fhe	꺁
fhx	꺂
fhw	꺃
ff	꺄
ffy	꺅
fff	꺆
ffv	꺇
ffl	꺈
ffk	꺉
ffg	꺊
ffc	꺋
ffs	꺌
ffj	꺍
ffn	꺎
ffr	꺏
ffp	꺐
fft	꺑
ffi	꺒
fwf	꺓
ffo	꺔
ffa	꺕
ffh	꺖
ffb	꺗
ffm	꺘
ffq	꺙
ffu	꺚
ffd	꺛
ffz	꺜
ffe	꺝
ffx	꺞
ffw	꺟
fo	꺠
foy	꺡
fof	꺢
fov	꺣
fol	꺤
fok	꺥
fog	꺦
foc	꺧
fos	꺨
foj	꺩
fon	꺪
for	꺫
fop	꺬
fot	꺭
foi	꺮
fwo	꺯
foo	꺰
foa	꺱
foh	꺲
fob	꺳
fom	꺴
foq	꺵
fou	꺶
fod	꺷
foz	꺸
foe	꺹
fox	꺺
fow	꺻
fj	꺼
fjy	꺽
fjf	꺾
fjv	꺿
fjl	껀
fjk	껁
fjg	껂
fjc	껃
fjs	껄
fjj	껅
fjn	껆
fjr	껇
fjp	껈
fjt	껉
fji	껊
fwj	껋
fjo	껌
fja	껍
fjh	껎
fjb	껏
fjm	껐
fjq	껑
fju	껒
fjd	껓
fjz	껔
fje	껕
fjx	껖
fjw	껗
fp	께
fpy	껙
fpf	껚
fpv	껛
fpl	껜
fpk	껝
fpg	껞
fpc	껟
fps	껠
fpj	껡
fpn	껢
fpr	껣
fpp	껤
fpt	껥
fpi	껦
fwp	껧
fpo	껨
fpa	껩
fph	껪
fpb	껫
fpm	껬
fpq	껭
fpu	껮
fpd	껯
fpz	껰
fpe	껱
fpx	껲
fpw	껳
fg	껴
fgy	껵
fgf	껶
fgv	껷
fgl	껸
fgk	껹
fgg	껺
fgc	껻
fgs	껼
fgj	껽
fgn	껾
fgr	껿
fgp	꼀
fgt	꼁
fgi	꼂
fwg	꼃
fgo	꼄
fga	꼅
fgh	꼆
fgb	꼇
fgm	꼈
fgq	꼉
fgu	꼊
fgd	꼋
fgz	꼌
fge	꼍
fgx	꼎
fgw	꼏
fq	꼐
fqy	꼑
fqf	꼒
fqv	꼓
fql	꼔
fqk	꼕
fqg	꼖
fqc	꼗
fqs	꼘
fqj	꼙
fqn	꼚
fqr	꼛
fqp	꼜
fqt	꼝
fqi	꼞
fwq	꼟
fqo	꼠
fqa	꼡
fqh	꼢
fqb	꼣
fqm	꼤
fqq	꼥
fqu	꼦
fqd	꼧
fqz	꼨
fqe	꼩
fqx	꼪
fqw	꼫
fn	꼬
fny	꼭
fnf	꼮
fnv	꼯
fnl	꼰
fnk	꼱
fng	꼲
fnc	꼳
fns	꼴
